threshold,accuracy,f1,precision,recall_tpr,specificity,fpr,tpr,roc_auc,pr_auc,tn,fp,fn,tp,scenario,pred_time_s,pred_ms_per_sample
0.5,0.9976164079822616,0.9789318961293484,0.9596541786743515,0.999,0.9975352112676056,0.0024647887323943664,0.999,0.9999507335680751,0.9994523985033817,16998,42,1,999,95_5_benign_attack,0.18227200000546873,0.010103769401633522
0.5,0.9975058004640371,0.9024943310657596,0.8257261410788381,0.995,0.9975352112676056,0.0024647887323943664,0.995,0.9997835974178404,0.9953136591682212,16998,42,1,199,99_1_benign_attack,0.11692910001147538,0.00678243039509718
