scenario,threshold,accuracy,f1,precision,recall_tpr,specificity,fpr,tpr,roc_auc,pr_auc,tn,fp,fn,tp
95:5_fpr<=1%,0.9570000000000001,0.9992793791574279,0.9935097353969047,0.9920239282153539,0.995,0.9995305164319249,0.00046948356807511736,0.995,0.9999507335680751,0.9994523985033817,17032,8,5,995
99:1_fpr<=1%,0.998,0.9996519721577726,0.9848484848484849,0.9948979591836735,0.975,0.9999413145539906,5.868544600938967e-05,0.975,0.9997835974178404,0.9953136591682212,17039,1,5,195
