raw_feature,mean_abs_shap
src_port,0.08055245402808567
conn_state,0.053243241671794304
src_ip_bytes,0.026070116128811893
dst_port,0.02169593493850254
service,0.012369959770243698
duration,0.009829709229725052
src_pkts,0.008271668456401628
dst_pkts,0.008103473351400863
dst_bytes,0.007824329066120177
src_bytes,0.007346231684140729
dns_RA,0.005833488068944259
dst_ip_bytes,0.005821410830046248
proto,0.0031840790247100034
dns_rejected,0.0027002302378518715
dns_AA,0.0025765303229752794
dns_RD,0.002340165371061082
dns_rcode,0.0017226267669903546
dns_query,0.0014854309497548824
dns_qclass,0.0008487546470330517
dns_qtype,0.000604757839669036
missed_bytes,0.00020827555923605388
ssl_resumed,5.35521117156119e-05
ssl_version,5.014596922358406e-05
ssl_cipher,4.7085195768916087e-05
ssl_established,4.118640068398043e-05
weird_name,2.1928833022514115e-05
weird_notice,2.0206763140842284e-05
http_trans_depth,8.825722584725556e-06
http_user_agent,7.755741078442059e-06
http_response_body_len,6.970625568697974e-06
http_method,6.863536059308309e-06
http_version,5.825150737315985e-06
weird_addl,5.515985922472359e-06
http_status_code,4.340797460500468e-06
http_resp_mime_types,3.7649000709368915e-06
http_uri,2.1364354940878197e-06
ssl_subject,7.829312119024482e-07
ssl_issuer,1.9433603435778295e-07
http_orig_mime_types,1.1728666569728652e-07
http_request_body_len,1.8557384174490754e-08
