raw_feature,mean_abs_shap
conn_state,0.050742913293204364
service,0.03693658914978065
src_ip_bytes,0.03498911443578076
src_bytes,0.028436666724861014
dst_port,0.020239221743942926
duration,0.016882283708054453
dst_pkts,0.015668849432429886
src_pkts,0.015315869365765207
src_port,0.015062970861465385
dst_ip_bytes,0.014885904556711856
dst_bytes,0.01192207302726682
proto,0.004918867303165346
dns_RA,0.0033313201461780007
dns_rejected,0.002319155764449462
dns_AA,0.0020192409663189127
dns_qclass,0.0014786607134348135
dns_RD,0.0014701856039012725
dns_qtype,0.0008912105244466462
dns_query,0.0007622403713143415
missed_bytes,0.0006195822299606437
dns_rcode,0.0004095311553791225
http_user_agent,5.640740633137549e-05
ssl_version,4.755880055872203e-05
ssl_resumed,4.704936970176241e-05
ssl_established,3.9718337294001745e-05
ssl_cipher,3.2167694379176505e-05
http_trans_depth,3.1813078309114966e-05
http_version,3.1585142196160205e-05
http_resp_mime_types,2.325643555165773e-05
http_method,1.6834001376967684e-05
http_uri,1.099859012994984e-05
http_status_code,1.0825410186947848e-05
http_response_body_len,8.096942604061455e-06
weird_notice,6.100698967609433e-06
weird_name,3.898760594954047e-06
weird_addl,1.2351516306781838e-06
http_orig_mime_types,4.165463799755143e-07
http_request_body_len,2.148983496472538e-07
ssl_issuer,1.3390906670184794e-07
ssl_subject,1.29959076962301e-07
