raw_feature,mean_abs_shap
conn_state,0.07065489496956649
src_ip_bytes,0.03063536362053316
dst_port,0.02973798700946162
src_port,0.025693045031302004
duration,0.02111559174445435
service,0.01797803022088507
src_bytes,0.014342709031565965
src_pkts,0.014220600785085684
dst_ip_bytes,0.013388280724904339
dst_pkts,0.012800598865933405
proto,0.011583967853259918
dst_bytes,0.009746790332024005
dns_rejected,0.006208785488632715
dns_RA,0.00555982262703758
dns_AA,0.0029595205603603256
dns_RD,0.0026087429329824073
dns_query,0.001991713980903022
dns_rcode,0.0016205627985475062
dns_qclass,0.001590369751361415
dns_qtype,0.001002461354713944
missed_bytes,0.0004290525761038658
ssl_resumed,0.00012882662182602894
ssl_established,0.00012363657592361746
ssl_cipher,0.00011614343039064076
ssl_version,0.00010843500711833414
http_trans_depth,5.50676629514022e-05
weird_notice,5.298506051884077e-05
weird_name,5.136320551333757e-05
http_user_agent,4.4356368550027045e-05
http_version,3.858804744505073e-05
http_method,3.769969093587662e-05
http_resp_mime_types,2.1770133165776854e-05
http_uri,1.9545823627203938e-05
http_status_code,1.8020382444408855e-05
http_response_body_len,1.3809741490954208e-05
weird_addl,4.699236439211649e-06
http_orig_mime_types,8.742830825559002e-07
ssl_subject,5.694229862098228e-07
ssl_issuer,4.6941732359223766e-07
http_request_body_len,2.5763292164774766e-07
