scenario,removed_columns,remaining_feature_count,val_acc,val_f1_macro,val_f1_weighted,val_prec_macro,val_rec_macro,val_roc_auc_ovr_macro,test_acc,test_f1_macro,test_f1_weighted,test_prec_macro,test_rec_macro,test_roc_auc_ovr_macro,fit_s,refit_s,test_eval_s,delta_test_acc,delta_test_f1_macro,delta_test_f1_weighted,delta_test_roc_auc_ovr_macro
remove_connection_state,conn_state,39,0.9910787341304406,0.9900282627488468,0.9910846035894624,0.9896533516360273,0.9904495555476149,0.9998823151532482,0.9918969567397788,0.9907920981797574,0.9919082668817683,0.9904712114864169,0.9911855913691219,0.9998884168101303,7.979506300005596,7.972849200014025,1.646437200019136,0.00010557711088243771,9.56416589921183e-05,0.00010961235408657455,-2.6790292318334963e-05
full_features,None,40,0.9910787341304406,0.9899645507206168,0.991082320476133,0.989596966090039,0.9903743078799698,0.9999018496213571,0.9917913796288964,0.9906964565207653,0.9917986545276817,0.9904104986712097,0.9910368685420702,0.9999152071024486,9.125923999992665,9.72653329995228,1.7704564000014216,0.0,0.0,0.0,0.0
remove_query_features,"dns_query, dns_qtype, dns_qclass, dns_rcode, dns_AA, dns_RD, dns_RA, dns_rejected",32,0.9907620027977935,0.9898860435290666,0.9907654994039304,0.9895676232494162,0.9902302540941316,0.9998977629922208,0.9910259455749993,0.9902058043387536,0.9910327630438305,0.9898253977870635,0.9906490846690041,0.9999004396363826,6.904456699965522,8.843712600006256,1.6695099999778904,-0.0007654340538970628,-0.0004906521820117193,-0.0007658914838511999,-1.476746606599022e-05
remove_transport_service_context,"src_port, dst_port, service, proto",36,0.982289439649484,0.9785857532486448,0.9823344785502701,0.9780071990484654,0.9793730559255996,0.9994985570878748,0.9819463140391164,0.9778648895177441,0.9820496648933263,0.9771766569758628,0.9787748220501307,0.9994629709973347,7.743257199996151,7.583489599986933,1.739938099985011,-0.009845065589780044,-0.012831567003021238,-0.009748989634355332,-0.0004522361051139123
remove_volume_features,"src_ip_bytes, src_bytes, dst_ip_bytes, dst_pkts, src_pkts, dst_bytes",34,0.9786734236017631,0.9764564475896373,0.9787333307448854,0.9761726379304496,0.97684405309015,0.9993996468753537,0.9793068862670573,0.9770390091237905,0.9793472203980584,0.9766752370026206,0.9775655785357495,0.9994709660703259,5.231456100009382,6.344810599985067,1.7416506999870762,-0.0124844933618391,-0.013657447396974831,-0.01245143412962324,-0.00044424103212270527
remove_core_top_features,"conn_state, src_ip_bytes, src_port, dst_port, duration, service",34,0.7839100483015282,0.7345109712285427,0.7760698779493191,0.8527897327016465,0.7367492309930639,0.9649635653040202,0.7845435109668224,0.7369044591403113,0.7774905730685989,0.8564675319040149,0.7383017096098357,0.9652183237469232,6.951402100035921,7.558294199989177,1.6758417999953963,-0.207247868662074,-0.253791997380454,-0.21430808145908276,-0.034696883355525454
