scenario,removed_columns,remaining_feature_count,test_acc,test_f1_macro,test_f1_weighted,test_roc_auc_ovr_macro,delta_test_acc,delta_test_f1_macro
remove_connection_state,conn_state,39,0.9918969567397788,0.9907920981797574,0.9919082668817683,0.9998884168101303,0.00010557711088243771,9.56416589921183e-05
full_features,None,40,0.9917913796288964,0.9906964565207653,0.9917986545276817,0.9999152071024486,0.0,0.0
remove_query_features,"dns_query, dns_qtype, dns_qclass, dns_rcode, dns_AA, dns_RD, dns_RA, dns_rejected",32,0.9910259455749993,0.9902058043387536,0.9910327630438305,0.9999004396363826,-0.0007654340538970628,-0.0004906521820117193
remove_transport_service_context,"src_port, dst_port, service, proto",36,0.9819463140391164,0.9778648895177441,0.9820496648933263,0.9994629709973347,-0.009845065589780044,-0.012831567003021238
remove_volume_features,"src_ip_bytes, src_bytes, dst_ip_bytes, dst_pkts, src_pkts, dst_bytes",34,0.9793068862670573,0.9770390091237905,0.9793472203980584,0.9994709660703259,-0.0124844933618391,-0.013657447396974831
remove_core_top_features,"conn_state, src_ip_bytes, src_port, dst_port, duration, service",34,0.7845435109668224,0.7369044591403113,0.7774905730685989,0.9652183237469232,-0.207247868662074,-0.253791997380454
